topic,n_segments,n_postings,top_terms,mapped_category,affinity,runner_up,bertopic_name
8,292,182,"bi, power, tableau, powerbi, tools, visualisation, visualization, dashboards, sql, data",visualisation_bi,0.5966,excel,8_bi_power_tableau_powerbi
58,285,142,"marketing, customer, campaigns, insights, market, consumer, customers, recommendations, sales, trends",statistics,0.2816,visualisation_bi,58_marketing_customer_campaigns_insights
62,271,180,"customer, customers, service, our, we, quality, services, products, everything, heart",data_modelling,0.2415,data_cleaning,62_customer_customers_service_our
9,266,229,"excel, microsoft, ms, powerpoint, advanced, proficient, word, office, skills, proficiency",excel,0.3509,programming,9_excel_microsoft_ms_powerpoint
40,260,192,"team, members, junior, mentoring, coaching, mentor, teams, training, guidance, your",stakeholder_comm,0.1674,reporting,40_team_members_junior_mentoring
17,260,152,"forecasting, budget, budgeting, forecast, forecasts, budgets, planning, monthly, annual, plan",statistics,0.5332,reporting,17_forecasting_budget_budgeting_forecast
11,258,227,"salary, up, annum, per, benefits, 50000, depending, 45000, 40000, bonus",machine_learning,0.202,programming,11_salary_up_annum_per
19,257,205,"responsibilities, duties, role, include, main, will, job, the, description, purpose",reporting,0.3064,stakeholder_comm,19_responsibilities_duties_role_include
27,255,167,"finance, analyst, commercial, senior, financial, role, will, join, the, reporting",reporting,0.456,statistics,27_finance_analyst_commercial_senior
92,249,194,"improvement, improvements, processes, process, continuous, identify, efficiency, improve, changes, implement",reporting,0.3215,visualisation_bi,92_improvement_improvements_processes_process
47,247,196,"analyst, join, looking, business, are, experienced, seeking, an, for, team",reporting,0.278,visualisation_bi,47_analyst_join_looking_business
10,237,213,"degree, bachelors, field, or, science, computer, equivalent, related, statistics, economics",statistics,0.2884,ethics_governance,10_degree_bachelors_field_or
81,235,161,"problems, analysis, business, cases, solutions, project, projects, planning, and, techniques",data_modelling,0.2932,reporting,81_problems_analysis_business_cases
13,232,157,"agile, scrum, waterfall, methodologies, delivery, working, experience, sprint, methodology, development",data_modelling,0.2061,reporting,13_agile_scrum_waterfall_methodologies
31,230,144,"analysis, business, ba, practice, techniques, methodologies, tools, practices, change, of",reporting,0.3217,visualisation_bi,31_analysis_business_ba_practice
43,230,118,"energy, sustainability, sustainable, oil, gas, zero, world, the, our, we",ethics_governance,0.2291,stakeholder_comm,43_energy_sustainability_sustainable_oil
83,213,156,"client, clients, is, our, their, consulting, industry, services, they, the",stakeholder_comm,0.3373,data_modelling,83_client_clients_is_our
61,212,128,"pricing, sales, cost, profitability, market, commercial, price, analysis, revenue, specialty",statistics,0.3503,reporting,61_pricing_sales_cost_profitability
21,204,162,"deadlines, ability, tight, pressure, under, prioritise, tasks, manage, priorities, work",reporting,0.314,statistics,21_deadlines_ability_tight_pressure
66,198,161,"stakeholders, communication, levels, communicate, skills, ability, relationships, strong, effectively, interpersonal",stakeholder_comm,0.4956,data_modelling,66_stakeholders_communication_levels_communicate
20,187,115,"discounts, discount, gym, free, onsite, online, discounted, access, portal, retailers",cloud,0.1866,sql,20_discounts_discount_gym_free
24,185,94,"sap, oracle, erp, knowledge, systems, cloud, fusion, experience, service, modules",cloud,0.4238,etl,24_sap_oracle_erp_knowledge
53,181,141,"selfstarter, selfmotivated, initiative, proactive, attitude, motivated, able, highly, driven, positive",reporting,0.1635,machine_learning,53_selfstarter_selfmotivated_initiative_proactive
55,178,74,"health, care, healthcare, nhs, clinical, patients, services, lives, we, trust",ethics_governance,0.2064,stakeholder_comm,55_health_care_healthcare_nhs
74,176,105,"etl, pipelines, data, warehouse, aws, experience, using, airflow, sources, warehousing",etl,0.7456,visualisation_bi,74_etl_pipelines_data_warehouse
63,171,115,"accounting, accounts, sheet, balance, accountabilities, account, reconciliations, reconciliation, financial, management",reporting,0.3934,excel,63_accounting_accounts_sheet_balance
33,162,126,"python, programming, sql, languages, coding, eg, experience, scripting, statistical, knowledge",programming,0.5677,etl,33_python_programming_sql_languages
78,160,133,"team, player, ability, independently, work, effectively, part, able, collaboratively, teams",reporting,0.2324,data_modelling,78_team_player_ability_independently
93,159,126,"change, experience, management, changes, projects, working, project, environment, varied, changing",reporting,0.3101,stakeholder_comm,93_change_experience_management_changes
73,159,124,"documentation, document, maintain, create, training, specifications, guides, materials, user, process",reporting,0.3657,programming,73_documentation_document_maintain_create
26,159,143,"years, experience, minimum, least, analyst, similar, role, or, in, relevant",reporting,0.3024,statistics,26_years_experience_minimum_least
51,158,108,"process, processes, mapping, asis, maps, business, visio, modelling, flows, tobe",visualisation_bi,0.3988,data_modelling,51_process_processes_mapping_asis
44,157,108,"testing, test, acceptance, user, tests, uat, scenarios, ab, scripts, criteria",programming,0.4008,excel,44_testing_test_acceptance_user
65,157,121,"sql, database, databases, server, queries, data, relational, query, experience, querying",sql,0.5403,visualisation_bi,65_sql_database_databases_server
45,156,111,"candidate, successful, candidates, will, ideal, be, have, the, profiles, following",data_modelling,0.2101,machine_learning,45_candidate_successful_candidates_will
50,149,123,"kpis, performance, metrics, indicators, kpi, key, measure, define, monitor, reports",visualisation_bi,0.3979,reporting,50_kpis_performance_metrics_indicators
56,149,87,"uk, nationals, sponsorship, euss, eligible, visa, right, remain, iceland, liechtenstein",ethics_governance,0.216,cloud,56_uk_nationals_sponsorship_euss
87,141,120,"role, this, you, be, youll, will, considered, need, what, profile",reporting,0.1717,stakeholder_comm,87_role_this_you_be
25,140,125,"qualified, cima, acca, aca, accountant, qualification, studying, or, accountancy, equivalent",data_modelling,0.2272,ethics_governance,25_qualified_cima_acca_aca
72,137,102,"compliance, regulatory, standards, regulations, ensure, rules, controls, policies, nuclear, monitoring",ethics_governance,0.4079,reporting,72_compliance_regulatory_standards_regulations
35,134,97,"2024, january, closing, date, applications, interviews, close, february, early, advert",statistics,0.3234,machine_learning,35_2024_january_closing_date
29,133,100,"disability, reasonable, adjustments, interview, confident, accommodation, disabilities, if, request, disabled",programming,0.1757,reporting,29_disability_reasonable_adjustments_interview
39,133,83,"stories, user, backlog, product, acceptance, features, requirements, epics, criteria, story",data_modelling,0.3803,reporting,39_stories_user_backlog_product
46,129,107,"doing, what, youll, whats, be, it, you, will, do, things",programming,0.2001,cloud,46_doing_what_youll_whats
48,127,110,"detail, attention, accuracy, high, detailoriented, strong, picture, meticulous, level, organised",data_modelling,0.2455,data_cleaning,48_detail_attention_accuracy_high
49,122,104,"wellbeing, health, mental, assistance, employee, programme, access, support, app, physical",reporting,0.2053,ethics_governance,49_wellbeing_health_mental_assistance
76,119,82,"risk, risks, operational, control, mitigation, impact, management, framework, resilience, opportunities",stakeholder_comm,0.2759,statistics,76_risk_risks_operational_control
86,119,60,"fpa, analyst, financial, finance, planning, team, will, an, manager, role",reporting,0.284,statistics,86_fpa_analyst_financial_finance
37,118,107,"pension, scheme, contribution, employer, contributions, up, contributory, salary, matched, generous",data_modelling,0.2723,programming,37_pension_scheme_contribution_employer
38,118,94,"holiday, days, holidays, bank, 25, plus, year, birthday, off, option",data_modelling,0.1617,programming,38_holiday_days_holidays_bank
71,118,51,"machine, learning, ai, models, techniques, science, ml, statistical, developing, predictive",machine_learning,0.5333,statistics,71_machine_learning_ai_models
57,116,102,"fastpaced, environment, fast, paced, ability, work, changing, dynamic, independently, in",programming,0.3154,machine_learning,57_fastpaced_environment_fast_paced
82,111,89,"dashboards, reports, google, analytics, maintain, ga4, metrics, dashboard, creating, tracking",visualisation_bi,0.4722,reporting,82_dashboards_reports_google_analytics
91,109,77,"events, free, social, coffee, subsidised, tea, fun, lunch, parking, christmas",data_modelling,0.1177,programming,91_events_free_social_coffee
52,107,99,"stakeholder, management, skills, communication, strong, excellent, relationship, stakeholders, engagement, ability",stakeholder_comm,0.5841,reporting,52_stakeholder_management_skills_communication
89,106,80,"models, modelling, financial, model, analysis, forecasting, scenario, support, valuation, risk",statistics,0.4655,machine_learning,89_models_modelling_financial_model
41,105,95,"leave, annual, days, holidays, bank, 25, plus, buy, birthday, holiday",reporting,0.1989,programming,41_leave_annual_days_holidays
94,105,84,"lead, customer, technical, leads, delivery, business, projects, product, strategic, leadership",reporting,0.2925,visualisation_bi,94_lead_customer_technical_leads
101,104,83,"data, visualisation, visualisations, visualization, insights, visualizations, visual, present, reports, create",visualisation_bi,0.583,reporting,101_data_visualisation_visualisations_visualization
88,101,82,"if, you, hear, like, sounds, us, love, wed, out, bit",programming,0.1335,machine_learning,88_if_you_hear_like
60,92,41,"insurance, reinsurance, lloyds, market, car, london, insurers, motor, we, clients",cloud,0.2133,ethics_governance,60_insurance_reinsurance_lloyds_market
59,89,75,"medical, private, dental, health, insurance, cash, plan, bupa, cover, healthcare",ethics_governance,0.2157,sql,59_medical_private_dental_health
67,86,79,"contract, months, fixed, term, month, 12, extend, duration, type, permanent",programming,0.2896,data_modelling,67_contract_months_fixed_term
70,81,32,"hr, systems, hris, group, system, payroll, data, reporting, employee, functions",reporting,0.3977,visualisation_bi,70_hr_systems_hris_group
68,77,76,"quote, ref, job, tel, references, indicative, mckinley, morgan, 221857586, rates",reporting,0.2243,ethics_governance,68_quote_ref_job_tel
64,77,9,"civil, service, servants, turkish, nationals, pension, opens, window, commissions, accrued",programming,0.2181,visualisation_bi,64_civil_service_servants_turkish
104,76,75,"looking, what, were, for, are, jason, mathew, we, who, about",programming,0.1092,data_modelling,104_looking_what_were_for
80,76,70,"hours, week, per, friday, 375, monday, time, full, 35, 37",statistics,0.3008,machine_learning,80_hours_week_per_friday
77,75,62,"bcs, certification, diploma, spm, analysis, qualification, cbap, iiba, business, certified",reporting,0.2535,ethics_governance,77_bcs_certification_diploma_spm
75,70,36,"fraud, checks, check, criminal, dismissed, employment, screening, cabinet, baseline, dbs",ethics_governance,0.327,data_cleaning,75_fraud_checks_check_criminal
95,69,65,"hoc, ad, adhoc, requests, analysis, required, analyses, queries, as, conduct",data_modelling,0.3624,etl,95_hoc_ad_adhoc_requests
97,65,53,"privacy, notice, personal, how, your, please, policy, information, website, mackenzie",ethics_governance,0.4419,stakeholder_comm,97_privacy_notice_personal_how
79,65,55,"charity, volunteering, volunteer, paid, year, days, community, day, choice, leave",programming,0.1586,data_modelling,79_charity_volunteering_volunteer_paid
96,62,57,"need, what, you, know, now, do, have, would, things, also",programming,0.1548,visualisation_bi,96_need_what_you_know
85,58,36,"click, here, job, apply, this, for, description, link, full, below",reporting,0.2555,visualisation_bi,85_click_here_job_apply
84,57,50,"leave, enhanced, maternity, paternity, adoption, family, parental, pay, shared, paid",data_modelling,0.1641,programming,84_leave_enhanced_maternity_paternity
90,57,36,"fmcg, hospitality, libre, hilton, sector, industry, freestyle, retail, manufacturing, lng",visualisation_bi,0.2301,reporting,90_fmcg_hospitality_libre_hilton
100,55,55,"life, assurance, protection, income, salary, insurance, cover, 4x, death, pension",ethics_governance,0.256,statistics,100_life_assurance_protection_income
99,51,48,"what, offer, you, can, we, well, do, need, how, reward",programming,0.213,stakeholder_comm,99_what_offer_you_can
102,50,46,"return, what, get, expect, youll, you, heres, can, doing, rewarded",programming,0.2012,machine_learning,102_return_what_get_expect
98,47,28,"clearance, security, vetting, sc, must, uk, national, appointed, level, opens",ethics_governance,0.262,reporting,98_clearance_security_vetting_sc
103,44,41,"cycle, scheme, work, bike, cycling, car, sacrifice, equipment, save, bikesthen",programming,0.188,data_modelling,103_cycle_scheme_work_bike
